Timestamp,Mode,Oil_Temp_C,Vibration_g,Flow_Lmin,Ambient_Temp_C,Health_Index,ML_Vib_Status,ML_Temp_Status,ML_Failure_Risk
15-05-2026, 10:52:46 am,HARDWARE,0,0.391,0,0,70,NORMAL,FAILURE,YES
15-05-2026, 10:52:47 am,HARDWARE,31.2,0.391,0,33.7,70,NORMAL,FAILURE,YES
15-05-2026, 10:52:48 am,HARDWARE,31.2,0.402,0,33.7,70,NORMAL,FAILURE,YES
15-05-2026, 10:52:49 am,HARDWARE,31.2,0.384,0,33.7,70,NORMAL,NORMAL,NO
15-05-2026, 10:52:50 am,HARDWARE,31.2,0.39,24.67,33.7,100,NORMAL,NORMAL,NO
15-05-2026, 10:52:51 am,HARDWARE,31.2,6.791,1.73,33.2,35,NORMAL,NORMAL,NO
15-05-2026, 10:52:52 am,HARDWARE,31.2,5.215,3.33,33.2,60,NORMAL,NORMAL,NO
15-05-2026, 10:52:53 am,HARDWARE,31.2,5.536,1.73,33.7,35,NORMAL,NORMAL,NO
15-05-2026, 10:52:54 am,HARDWARE,31.2,5.855,1.73,33.7,35,NORMAL,NORMAL,NO
15-05-2026, 10:52:55 am,HARDWARE,31.2,7.478,1.73,33.7,35,NORMAL,NORMAL,NO
15-05-2026, 10:52:56 am,HARDWARE,31.2,6.025,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:52:57 am,HARDWARE,31.2,8.043,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:52:58 am,HARDWARE,31.2,8.555,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:52:59 am,HARDWARE,31.2,5.213,1.87,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:00 am,HARDWARE,31.2,6.397,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:01 am,HARDWARE,31.2,6.988,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:02 am,HARDWARE,31.2,8.257,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:03 am,HARDWARE,31.2,5.29,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:04 am,HARDWARE,31.2,5.217,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:05 am,HARDWARE,31.2,8.45,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:06 am,HARDWARE,31.2,7.017,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:07 am,HARDWARE,31.2,8.71,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:08 am,HARDWARE,31.2,5.302,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:09 am,HARDWARE,31.2,8.428,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:10 am,HARDWARE,31.2,7.771,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:11 am,HARDWARE,31.2,7.895,1.6,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:12 am,HARDWARE,31.2,9.12,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:13 am,HARDWARE,31.2,5.326,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:14 am,HARDWARE,31.2,6.522,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:15 am,HARDWARE,31.2,6.268,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:16 am,HARDWARE,31.2,4.056,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:17 am,HARDWARE,31.2,3.964,1.73,33.2,36,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:18 am,HARDWARE,31.2,5.983,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:19 am,HARDWARE,31.2,7.051,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:20 am,HARDWARE,31.2,5.633,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:21 am,HARDWARE,31.2,8.76,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:22 am,HARDWARE,31.2,8.025,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:23 am,HARDWARE,31.2,6.721,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:24 am,HARDWARE,31.2,8.078,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:25 am,HARDWARE,31.2,4.743,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:26 am,HARDWARE,31.2,4.596,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:27 am,HARDWARE,31.2,8.275,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:28 am,HARDWARE,31.2,7.666,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:29 am,HARDWARE,31.2,7.636,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:30 am,HARDWARE,31.2,8.668,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:31 am,HARDWARE,31.2,5.239,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:32 am,HARDWARE,31.2,8.483,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:33 am,HARDWARE,31.2,7.855,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:34 am,HARDWARE,31.2,6.557,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:35 am,HARDWARE,31.2,9.083,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:36 am,HARDWARE,31.2,9.356,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:37 am,HARDWARE,31.2,5.809,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:38 am,HARDWARE,31.2,7.968,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:39 am,HARDWARE,31.3,5.11,1.73,33.2,35,MODEL_NOT_FOUND,FAILURE,YES
15-05-2026, 10:53:40 am,HARDWARE,31.3,5.287,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:41 am,HARDWARE,31.2,8.34,1.73,33.2,35,MODEL_NOT_FOUND,FAILURE,YES
15-05-2026, 10:53:42 am,HARDWARE,31.2,6.577,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:43 am,HARDWARE,31.3,8.781,1.73,33.2,35,MODEL_NOT_FOUND,FAILURE,YES
15-05-2026, 10:53:44 am,HARDWARE,31.3,8.445,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:45 am,HARDWARE,31.3,6.422,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:46 am,HARDWARE,31.3,8.144,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:47 am,HARDWARE,31.3,4.993,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:48 am,HARDWARE,31.3,5.158,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:49 am,HARDWARE,31.3,6.214,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:50 am,HARDWARE,31.3,7.865,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:51 am,HARDWARE,31.3,5.293,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:52 am,HARDWARE,31.3,4.505,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:53 am,HARDWARE,31.4,8.502,1.73,33.2,35,MODEL_NOT_FOUND,FAILURE,YES
15-05-2026, 10:53:54 am,HARDWARE,31.4,7.615,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:55 am,HARDWARE,31.4,8.018,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:56 am,HARDWARE,31.4,9.148,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:57 am,HARDWARE,31.4,5.162,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:58 am,HARDWARE,31.4,9.046,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:53:59 am,HARDWARE,31.4,4.09,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:00 am,HARDWARE,31.4,5.811,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:01 am,HARDWARE,31.4,7.667,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:02 am,HARDWARE,31.4,6.617,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:03 am,HARDWARE,31.4,8.579,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:04 am,HARDWARE,31.4,8.985,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:05 am,HARDWARE,31.5,9.735,1.6,33.2,35,MODEL_NOT_FOUND,FAILURE,YES
15-05-2026, 10:54:06 am,HARDWARE,31.5,9.022,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:07 am,HARDWARE,31.5,5.232,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:08 am,HARDWARE,31.5,6.271,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:09 am,HARDWARE,31.5,7.181,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:10 am,HARDWARE,31.5,6.503,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:11 am,HARDWARE,31.6,8.151,1.73,33.2,35,MODEL_NOT_FOUND,FAILURE,YES
15-05-2026, 10:54:12 am,HARDWARE,31.6,8.549,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:13 am,HARDWARE,31.6,4.613,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:14 am,HARDWARE,31.6,4.355,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:15 am,HARDWARE,31.6,8.548,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:16 am,HARDWARE,31.6,8.251,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:17 am,HARDWARE,31.6,6.487,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:18 am,HARDWARE,31.6,7.125,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:19 am,HARDWARE,31.6,6.676,1.6,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:20 am,HARDWARE,31.6,5.054,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:21 am,HARDWARE,31.6,5.084,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:22 am,HARDWARE,31.6,9.186,1.73,33.7,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:23 am,HARDWARE,31.6,3.487,1.6,33.2,53,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:24 am,HARDWARE,31.6,4.743,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
15-05-2026, 10:54:25 am,HARDWARE,31.6,9.355,1.73,33.2,35,MODEL_NOT_FOUND,NORMAL,NO
