Timestamp,Mode,Oil_Temp_C,Vibration_g,Flow_Lmin,Ambient_Temp_C,Health_Index,ML_Vib_Status,ML_Temp_Status,ML_Failure_Risk
16-05-2026, 11:00:00 am,HARDWARE,9.2,1.123,0.58,34.2,70,NORMAL,FAILURE,YES
16-05-2026, 11:00:01 am,HARDWARE,16.6,1.915,0.94,34.2,70,NORMAL,NORMAL,NO
16-05-2026, 11:00:02 am,HARDWARE,22.0,2.132,1.23,34.2,70,NORMAL,NORMAL,NO
16-05-2026, 11:00:03 am,HARDWARE,25.7,2.998,1.45,34.2,70,NORMAL,FAILURE,YES
16-05-2026, 11:00:04 am,HARDWARE,28.1,3.399,1.79,34.2,56,NORMAL,NORMAL,NO
16-05-2026, 11:00:05 am,HARDWARE,28.1,5.074,1.84,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:06 am,HARDWARE,28.2,4.942,1.84,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:07 am,HARDWARE,28.2,2.654,1.8,34.2,70,NORMAL,NORMAL,NO
16-05-2026, 11:00:08 am,HARDWARE,28.2,4.973,1.84,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:09 am,HARDWARE,28.2,5.537,1.88,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:10 am,HARDWARE,28.3,3.378,1.9,34.2,57,NORMAL,NORMAL,NO
16-05-2026, 11:00:11 am,HARDWARE,28.4,6.614,1.9,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:12 am,HARDWARE,28.4,5.295,1.93,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:13 am,HARDWARE,28.4,8.873,1.95,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:14 am,HARDWARE,28.4,2.858,2.0,34.2,70,NORMAL,NORMAL,NO
16-05-2026, 11:00:15 am,HARDWARE,28.5,4.568,2.01,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:16 am,HARDWARE,28.6,8.264,1.99,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:17 am,HARDWARE,28.8,4.142,1.97,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:18 am,HARDWARE,28.8,5.062,1.95,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:19 am,HARDWARE,28.9,4.505,1.99,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:20 am,HARDWARE,28.9,5.16,1.94,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:21 am,HARDWARE,29.0,6.506,1.9,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:22 am,HARDWARE,29.0,3.074,1.89,34.2,67,NORMAL,NORMAL,NO
16-05-2026, 11:00:23 am,HARDWARE,29.1,5.883,1.88,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:24 am,HARDWARE,29.1,2.954,1.87,34.2,70,NORMAL,NORMAL,NO
16-05-2026, 11:00:25 am,HARDWARE,29.2,5.149,1.89,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:26 am,HARDWARE,29.2,7.116,1.92,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:27 am,HARDWARE,29.2,3.904,1.93,34.2,38,NORMAL,NORMAL,NO
16-05-2026, 11:00:28 am,HARDWARE,29.3,6.608,1.91,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:29 am,HARDWARE,29.3,4.262,1.95,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:30 am,HARDWARE,29.4,6.049,1.97,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:31 am,HARDWARE,29.4,7.022,2.02,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:32 am,HARDWARE,29.4,7.113,2.03,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:33 am,HARDWARE,29.4,6.883,2.03,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:34 am,HARDWARE,29.4,6.26,2.0,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:35 am,HARDWARE,29.6,2.442,1.98,34.2,70,NORMAL,NORMAL,NO
16-05-2026, 11:00:36 am,HARDWARE,29.6,5.47,1.98,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:37 am,HARDWARE,29.6,7.751,1.96,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:38 am,HARDWARE,29.6,5.93,1.9,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:39 am,HARDWARE,29.7,5.543,1.91,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:40 am,HARDWARE,29.7,6.011,1.9,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:41 am,HARDWARE,29.8,5.584,1.93,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:42 am,HARDWARE,29.8,5.077,1.97,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:43 am,HARDWARE,29.9,8.317,1.9,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:44 am,HARDWARE,29.9,4.436,1.9,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:45 am,HARDWARE,29.9,7.538,1.96,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:46 am,HARDWARE,30.0,5.703,1.94,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:47 am,HARDWARE,30.0,6.816,1.93,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:48 am,HARDWARE,30.0,4.863,1.96,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:49 am,HARDWARE,30.0,9.422,1.97,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:50 am,HARDWARE,30.0,10.675,1.99,34.2,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:51 am,HARDWARE,30.0,6.451,2.01,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:52 am,HARDWARE,30.1,5.755,2.06,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:53 am,HARDWARE,30.1,3.035,2.1,34.1,69,NORMAL,NORMAL,NO
16-05-2026, 11:00:54 am,HARDWARE,30.1,4.649,2.11,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:55 am,HARDWARE,30.1,6.509,2.17,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:56 am,HARDWARE,30.1,8.454,2.16,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:57 am,HARDWARE,30.1,5.967,2.17,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:00:58 am,HARDWARE,30.1,3.015,2.14,34.1,69,NORMAL,NORMAL,NO
16-05-2026, 11:00:59 am,HARDWARE,30.1,5.153,2.14,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:00 am,HARDWARE,30.1,6.085,2.12,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:01 am,HARDWARE,30.1,7.55,2.1,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:02 am,HARDWARE,30.2,4.764,2.11,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:03 am,HARDWARE,30.2,5.649,2.12,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:04 am,HARDWARE,30.2,6.214,2.1,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:05 am,HARDWARE,30.2,6.876,2.14,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:06 am,HARDWARE,30.2,6.314,2.16,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:07 am,HARDWARE,30.2,3.718,2.15,34.1,45,NORMAL,NORMAL,NO
16-05-2026, 11:01:08 am,HARDWARE,30.3,8.519,2.1,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:09 am,HARDWARE,30.3,5.892,2.12,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:10 am,HARDWARE,30.4,5.355,2.08,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:11 am,HARDWARE,30.4,5.71,2.06,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:12 am,HARDWARE,30.5,6.322,2.08,34.1,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:13 am,HARDWARE,30.5,6.822,2.08,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:14 am,HARDWARE,30.5,5.92,2.09,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:15 am,HARDWARE,30.4,6.477,2.08,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:16 am,HARDWARE,30.4,5.929,2.05,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:17 am,HARDWARE,30.4,3.517,2.03,34.0,52,NORMAL,NORMAL,NO
16-05-2026, 11:01:18 am,HARDWARE,30.4,4.56,2.0,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:19 am,HARDWARE,30.4,5.537,2.0,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:20 am,HARDWARE,30.3,8.777,2.03,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:21 am,HARDWARE,30.4,7.359,2.03,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:22 am,HARDWARE,30.3,3.851,2.03,34.0,40,NORMAL,NORMAL,NO
16-05-2026, 11:01:23 am,HARDWARE,30.4,5.034,2.01,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:24 am,HARDWARE,30.5,3.841,2.0,34.0,41,NORMAL,NORMAL,NO
16-05-2026, 11:01:25 am,HARDWARE,30.5,8.124,2.03,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:26 am,HARDWARE,30.5,6.385,2.09,34.0,35,NORMAL,NORMAL,NO
16-05-2026, 11:01:27 am,HARDWARE,30.6,2.591,2.1,34.0,70,NORMAL,NORMAL,NO
16-05-2026, 11:01:28 am,HARDWARE,30.6,6.716,2.1,34.0,35,NORMAL,NORMAL,NO
