Timestamp,Mode,Oil_Temp_C,Vibration_g,Flow_Lmin,Ambient_Temp_C,Health_Index,ML_Vib_Status,ML_Temp_Status,ML_Failure_Risk
15-05-2026, 06:45:00 pm,HARDWARE,9.4,1.114,0.38,33.5,70,NORMAL,NORMAL,NO
15-05-2026, 06:45:01 pm,HARDWARE,17.0,1.684,0.79,33.5,70,NORMAL,NORMAL,NO
15-05-2026, 06:45:02 pm,HARDWARE,22.8,2.268,1.11,33.5,70,NORMAL,FAILURE,YES
15-05-2026, 06:45:03 pm,HARDWARE,26.6,2.367,1.25,33.5,70,NORMAL,FAILURE,YES
15-05-2026, 06:45:04 pm,HARDWARE,26.8,9.624,1.32,33.5,35,WARNING,NORMAL,NO
15-05-2026, 06:45:05 pm,HARDWARE,26.9,8.467,1.32,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:06 pm,HARDWARE,27.0,8.269,1.29,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:07 pm,HARDWARE,27.0,8.193,1.34,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:08 pm,HARDWARE,27.2,7.903,1.37,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:09 pm,HARDWARE,27.2,4.32,1.34,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:10 pm,HARDWARE,27.3,4.524,1.33,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:11 pm,HARDWARE,27.3,3.739,1.34,33.5,44,NORMAL,NORMAL,NO
15-05-2026, 06:45:12 pm,HARDWARE,27.4,7.365,1.37,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:13 pm,HARDWARE,27.4,5.873,1.38,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:14 pm,HARDWARE,27.6,5.846,1.37,33.5,35,NORMAL,NORMAL,NO
15-05-2026, 06:45:15 pm,HARDWARE,27.7,7.167,1.39,33.5,35,NORMAL,NORMAL,NO
